what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1348172866377
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1348172866377
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1348172866378
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1348172866378
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1348172866378
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1348172866378
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1348172866378
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1348172866378
os,sysinfo,,,"macosx",1348172866383
arch,sysinfo,,,"x86_64",1348172866383
ws,sysinfo,,,"cocoa",1348172866384
locale,sysinfo,,,"en_US",1348172866384
processors,sysinfo,,,"2",1348172866384
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1348172866384
java.runtime.version,sysinfo,,,"1.6.0_35-b10-428-11M3811",1348172866384
java.specification.name,sysinfo,,,"Java Platform API Specification",1348172866384
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348172866384
java.specification.version,sysinfo,,,"1.6",1348172866384
java.vendor,sysinfo,,,"Apple Inc.",1348172866384
java.version,sysinfo,,,"1.6.0_35",1348172866384
java.vm.info,sysinfo,,,"mixed mode",1348172866384
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1348172866384
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348172866384
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348172866384
java.vm.specification.version,sysinfo,,,"1.0",1348172866384
java.vm.vendor,sysinfo,,,"Apple Inc.",1348172866384
java.vm.version,sysinfo,,,"20.10-b01-428",1348172866384
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1348172866392
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348172898486
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1348172898631
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1348172899075
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1348172899088
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1348172899089
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1348172899158
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1348172899243
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1348172902326
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348172929947
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1348173114046
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1348173114108
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1348173114202
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1348173115285
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1348173116128
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1348173116141
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1348173116175
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1348173116185
